i	mean	lower	upper	substrate	dt
15	0.11320683278005	0.0184739053847928	0.207939760175307	30kpafn	75
16	0.133231652271263	0.0361248787302162	0.23033842581231	30kpafn	80
17	0.117089269366155	0.00867987701835776	0.225498661713953	30kpafn	85
18	0.108672197145093	0.011652318561726	0.20569207572846	30kpafn	90
19	0.211067238726054	0.0993607375830714	0.322773739869036	30kpafn	95
20	0.204116862979507	0.0926287081928265	0.315605017766188	30kpafn	100
21	0.221002959362524	0.0792396992042954	0.362766219520753	30kpafn	105
22	0.392604733338739	0.234674988347701	0.550534478329777	30kpafn	110
23	0.430846765393539	0.278481611937935	0.583211918849143	30kpafn	115
24	0.488210662290239	0.22700670798889	0.749414616591588	30kpafn	120
1	1	1	1	hacol	5
2	0.297598316003241	0.248242256253556	0.346954375752925	hacol	10
3	-0.0506937934140973	-0.106185377098584	0.00479779027038978	hacol	15
4	-0.0446392989285219	-0.103214825775694	0.0139362279186503	hacol	20
5	-0.0518829797184896	-0.110950658594464	0.00718469915748471	hacol	25
6	-0.0810163150935798	-0.141956365468761	-0.0200762647183985	hacol	30
7	0.100703496734175	0.0355196147404193	0.16588737872793	hacol	35
8	-0.0330056088859977	-0.102719395192416	0.0367081774204203	hacol	40
9	0.0661528882872187	-0.0111977689339563	0.143503545508394	hacol	45
10	0.00979567010948519	-0.0619526220760742	0.0815439622950446	hacol	50
11	0.025182223564033	-0.0480613557325438	0.0984258028606099	hacol	55
12	0.139596361019024	0.0597718406835049	0.219420881354544	hacol	60
13	0.0951750545960063	0.0173771176568489	0.172972991535164	hacol	65
14	0.111288621915804	0.0248086218190243	0.197768622012584	hacol	70
15	0.169220623145712	0.0840687722139129	0.254372474077512	hacol	75
16	0.175274770494306	0.0704399559385974	0.280109585050014	hacol	80
17	-0.176716069067126	-0.289317079979069	-0.0641150581551828	hacol	85
18	0.01248973673193	-0.116009555510714	0.140989028974574	hacol	90
19	0.0481454443364839	-0.0961374213485381	0.192428310021506	hacol	95
20	0.544154348296705	0.404522487840224	0.683786208753186	hacol	100
21	0.136375154935684	-0.0177611171567095	0.290511427028078	hacol	105
22	-0.167207006218286	-0.333787457910966	-0.000626554525605783	hacol	110
23	0.284517796864425	-0.032462630481097	0.601498224209946	hacol	115
24	-0.176491643545048	-0.5126194551122	0.159636168022103	hacol	120
1	1	1	1	hafn	5
2	0.296495001553241	0.262875966785293	0.330114036321189	hafn	10
3	0.107539231853234	0.0713323586101594	0.143746105096309	hafn	15
4	0.101480141661609	0.0633989432567632	0.139561340066455	hafn	20
5	0.0175289939352179	-0.0231102981137537	0.0581682859841895	hafn	25
6	0.0135006270277063	-0.0254752831007464	0.052476537156159	hafn	30
7	0.0710707524595897	0.0280698118567191	0.11407169306246	hafn	35
8	0.0617939623923501	0.0155310346158229	0.108056890168877	hafn	40
9	0.0226917998653111	-0.024706958890422	0.0700905586210442	hafn	45
10	0.0752318461248024	0.0254517370789156	0.125011955170689	hafn	50
11	0.0375500280886124	-0.0173974621606974	0.0924975183379222	hafn	55
12	0.051268853565296	-0.00430968793781751	0.106847395068409	hafn	60
13	0.204634829236864	0.143139058201572	0.266130600272156	hafn	65
14	0.0811240058636224	0.00748991494732844	0.154758096779916	hafn	70
15	0.180397603292502	0.0988846524863215	0.261910554098683	hafn	75
16	0.00185820836778672	-0.112420917933506	0.116137334669079	hafn	80
17	0.0907239278286917	-0.0755080012494415	0.256955856906825	hafn	85
1	1	1	1	glass	5
2	0.262206868589738	0.236306190328804	0.288107546850672	glass	10
3	0.0610634876123897	0.0337468963888788	0.0883800788359007	glass	15
4	0.0346300438237698	0.00610810404301898	0.0631519836045207	glass	20
5	0.0123567163098709	-0.0155949181269524	0.0403083507466943	glass	25
6	0.0428321923956967	0.0137215689883352	0.0719428158030582	glass	30
7	0.0533292543299559	0.0233950859104926	0.0832634227494192	glass	35
8	0.0665385631873286	0.0348151498887131	0.0982619764859442	glass	40
9	0.0634449167356912	0.0312959351121028	0.0955938983592796	glass	45
10	0.045449663739076	0.0117821775544396	0.0791171499237124	glass	50
11	0.0550968549252688	0.0207957413732374	0.0893979684773002	glass	55
12	0.0310216488750145	-0.00366494033457634	0.0657082380846054	glass	60
13	0.02054219251428	-0.0161337406807608	0.0572181257093208	glass	65
14	0.0850294852903653	0.0466989899798469	0.123359980600884	glass	70
15	0.0637858156541284	0.0230946549070568	0.1044769764012	glass	75
16	0.0908451701318541	0.0459437641830474	0.135746576080661	glass	80
17	0.0120367271034645	-0.0335302470212231	0.0576037012281522	glass	85
18	0.0947873912441066	0.0472389200175891	0.142335862470624	glass	90
19	0.0219487404197136	-0.0340163578419856	0.0779138386814128	glass	95
20	-0.0771167820319986	-0.137326150038761	-0.0169074140252363	glass	100
21	-0.0281202193114382	-0.0954752825408702	0.0392348439179939	glass	105
22	-0.0112734196737309	-0.0794223500174345	0.0568755106699727	glass	110
23	-0.142775646311	-0.228218189714118	-0.057333102907881	glass	115
24	0.118492987521223	-0.0176323179113119	0.254618292953759	glass	120
