i	mean	lower	upper	substrate	dt
12	0.0244144709182435	-0.017719057142016	0.0665479989785029	30kpafn	60
13	-0.0156002136968419	-0.0592219215088594	0.0280214941151757	30kpafn	65
14	-0.0216782868314902	-0.0671120081303109	0.0237554344673306	30kpafn	70
15	-0.0299649794800843	-0.0794566016776986	0.0195266427175299	30kpafn	75
16	-0.0682363192381153	-0.121336799752212	-0.0151358387240182	30kpafn	80
17	-0.0821055135582902	-0.140664709561962	-0.0235463175546182	30kpafn	85
18	-0.0836696907908813	-0.146716184899138	-0.0206231966826245	30kpafn	90
19	-0.0352303200925788	-0.107791529694217	0.0373308895090595	30kpafn	95
20	-0.0323252839254722	-0.11292745776439	0.0482768899134451	30kpafn	100
21	-0.0321188064341671	-0.132504607695884	0.06826699482755	30kpafn	105
22	0.0793091779885483	-0.0470303943513972	0.205648750328494	30kpafn	110
1	1	1	1	hafn	5
2	-0.0512150826443856	-0.0823626706830514	-0.0200674946057199	hafn	10
3	0.0584411566640822	0.0278142733343066	0.0890680399938579	hafn	15
4	0.0497045995601152	0.0176382382229163	0.081770960897314	hafn	20
5	0.0849209156704089	0.0527874011829963	0.117054430157822	hafn	25
6	0.0960188519762338	0.0628682948393476	0.12916940911312	hafn	30
7	-0.0120748836046838	-0.0473497737698007	0.0232000065604332	hafn	35
8	-0.022893849540685	-0.0580677089450058	0.0122800098636358	hafn	40
9	0.121979876996009	0.0858302395610723	0.158129514430945	hafn	45
10	-0.000670079255929937	-0.0389695114653298	0.0376293529534699	hafn	50
11	0.0913593597656878	0.0522318035722185	0.130486915959157	hafn	55
12	0.0178328772666258	-0.0243760952837097	0.0600418498169614	hafn	60
13	-0.0442902508908802	-0.0872190892672431	-0.00136141251451716	hafn	65
14	0.0584704027580514	0.0118621389733463	0.105078666542756	hafn	70
15	-0.0351521207308509	-0.0844431944293757	0.0141389529676739	hafn	75
16	-0.0365129226145129	-0.0891371310289486	0.0161112857999229	hafn	80
17	0.0423872852839037	-0.0187890682182132	0.103563638786021	hafn	85
18	-0.0376622985512297	-0.104158829708585	0.0288342326061253	hafn	90
19	0.118637746379582	0.0498670431883744	0.187408449570789	hafn	95
20	-0.099257242205893	-0.187496586526986	-0.0110178978847998	hafn	100
21	-0.244358921542447	-0.371186453054313	-0.117531390030581	hafn	105
1	1	1	1	glass	5
2	0.150375974945251	0.128098282737568	0.172653667152933	glass	10
3	0.141461373612813	0.119012835986315	0.163909911239311	glass	15
4	0.116798288410795	0.0933457490738952	0.140250827747695	glass	20
5	0.0641519595829211	0.0405135019246004	0.0877904172412418	glass	25
6	0.036121050536395	0.0114416366221908	0.0608004644505992	glass	30
7	0.0203516923993749	-0.00538764174875288	0.0460910265475028	glass	35
8	0.00728366294140152	-0.019246260296814	0.033813586179617	glass	40
9	-0.0755834578287437	-0.102436874292149	-0.0487300413653388	glass	45
10	-0.0187686828667079	-0.0475778011836237	0.0100404354502078	glass	50
11	-0.0284691881176251	-0.0574499226625936	0.000511546427343374	glass	55
12	-0.0357550385921126	-0.0668655078357017	-0.00464456934852354	glass	60
13	-0.0910682523575531	-0.123795304780552	-0.0583411999345543	glass	65
14	-0.00821469707248146	-0.0421387091180724	0.0257093149731094	glass	70
15	-0.0248649915266403	-0.0607080629765631	0.0109780799232824	glass	75
16	0.0140394422736365	-0.0255986722798946	0.0536775568271676	glass	80
17	0.00353840357582522	-0.0384163459068215	0.0454931530584719	glass	85
18	0.0434553445407031	0.00029746186399468	0.0866132272174114	glass	90
19	0.0626162643413718	0.0127314537320508	0.112501074950693	glass	95
20	0.09898639819524	0.0400491153453694	0.157923681045111	glass	100
21	0.00639012875162425	-0.0669022065257684	0.0796824640290169	glass	105
22	-0.0637820058148296	-0.174320401131973	0.0467563895023141	glass	110
